Code;Description;Type;Category;Sub Category;Range
-101;Aborted  User pressed the Stop button in the iMacros sidebar  Typically  you can check this value to see if the user wants to exit the application ;Error;User Interaction;;
-102;"Browser Closed  User pressed the Window Close button in the browser 
This code does not apply when using the built-in Javascript scripting interface in Firefox ";Error;User Interaction;;
-1000;Unspecified  Macro playback returned an error without explicitly specifying an error code ;Error;Macro Playback;;-1000 to -2000
-1010;Not In Playback Mode  Error occurred while macro playback is not active (recording or idle mode) ;Error;Macro Playback;;-1000 to -2000
-1020;Unsupported Browser  Unsupported web browser was specified for the macro playback engine ;Error;Macro Playback;;-1000 to -2000
-1030;Browser Not Initialized  Browser type not yet determined ;Error;Macro Playback;;-1000 to -2000
-1040;Tabbed Browsing Disabled  Attempt to run the TAB command while IE tabbed browsing is disabled ;Error;Macro Playback;;-1000 to -2000
-1100;Load Failed  Failed to load the macro (syntax or I/O error) (Found wrong macro command while loading file) ;Error;Macro Playback;;-1000 to -2000
-1110;Invalid Macro Name  Invalid macro name specified for playback (Command Line Error  No Macro found) ;Error;Macro Playback;;-1000 to -2000
-1200;Bad Parameter  Invalid macro parameter was specified ;Error;Macro Playback;;-1000 to -2000
-1210;Cannot Compile Regex  Cannot compile regular expression (as in SEARCH) ;Error;Macro Playback;;-1000 to -2000
-1220;Wrong Decryption Password  Incorrect decryption password supplied  Please enter the correct password in the OPTIONS dialog or re-run the macro ;Error;Macro Playback;;-1000 to -2000
-1230;File Not Found  Filename specified in the macro command (e g  IMAGESEARCH) doesnt exist ;Error;Macro Playback;;-1000 to -2000
-1235;File Access Denied  Access to the file was denied by the system  or the file might be in use ;Error;Macro Playback;;-1000 to -2000
-1240;Invalid Record Index  The data source record with requested index does not exist ;Error;Macro Playback;;-1000 to -2000
-1250;JScript Error  JScript parsing/evaluation error (in EVAL) ;Error;Macro Playback;;-1000 to -2000
-1300;Html Element Not Found  Cannot find HTML element ;Error;Macro Playback;;-1000 to -2000
-1310;Non Expected Tag Found  HTML element was found when EVENT FAIL_IF_FOUND was specified (see TAG) ;Error;Macro Playback;;-1000 to -2000
-1320;Search Query Not Found  Search query not found in source ;Error;Macro Playback;;-1000 to -2000
-1330;Page or Download Timeout  !TIMEOUT_PAGE was reached before the page finished loading or !TIMEOUT_DOWNLOAD was reached before a file download completed ;Error;Macro Playback;;-1000 to -2000
-1340;Eval Error  Custom MacroError thrown by EVAL;Error;Macro Playback;;-1000 to -2000
-1350;Navigation Error  page load returned HTTP Status between 400 and 500 or the server could not be connected ;Error;Macro Playback;;-1000 to -2000
-1360;Security Problem  a security problem occurred and ONSECURITDIALOG or ONINSECURECONNECTION was set to CONTINUE=NO ;Error;Macro Playback;;-1000 to -2000
-1400;Dialog Manager Error  Indicates that an exception has occurred in Dialog Manager ;Error;Macro Playback;;-1000 to -2000
-1410;No Download Detected  Macro contains ONDOWNLOAD  but no download dialog was detected ;Error;Macro Playback;;-1000 to -2000
-1420;Checksum or Size Not Verified  Checksum or Size of downloaded file does not match specified ;Error;Macro Playback;;-1000 to -2000
-1430;Failed To Handle Browser Dialog  Failed to handle Web Browser dialog ;Error;Macro Playback;;-1000 to -2000
-1440;Failed To Set Save File Name  Failed to set filename in the Save File dialog ;Error;Macro Playback;;-1000 to -2000
-1450;No Dialog Handler  The Dialog Manager detected a dialog  but the handler for this dialog type is not enabled  Missing command ON   DIALOG  (Only from Scripting Interface);Error;Macro Playback;;-1000 to -2000
-1500;Command Not Supported  The command or feature is not licensed or supported in this product ;Error;Macro Playback;;-1000 to -2000
-1600;Invalid Stopwatch Id  Invalid Stopwatch ID or LABEL specified  duplicate or nonexistent ;Error;Macro Playback;;-1000 to -2000
-1610;Stopwatch Already Running  Stopwatch with this ID or label is already running ;Error;Macro Playback;;-1000 to -2000
-1620;Stopwatch Not Started  Cannot stop stopwatch before its started ;Error;Macro Playback;;-1000 to -2000
-1700;Invalid Select Content  Selected entry in a select box is not available ;Error;Macro Playback;;-1000 to -2000
-1710;Invalid Check Radio Content  Invalid CONTENT parameter specified for check or radio box ;Error;Macro Playback;;-1000 to -2000
-1750;Cannot Save Element Screenshot  Element does not support save element screenshot ;Error;Macro Playback;;-1000 to -2000
-1800;Image Not Found  Could not find image with given confidence in browser screen ;Error;Macro Playback;;-1000 to -2000
-1810;Image Recognition Internal Error  Internal Error in Image Recognition Plugin (Is it properly installed?) ;Error;Macro Playback;;-1000 to -2000
-1820;Cannot Load Image  Image file could not be loaded ;Error;Macro Playback;;-1000 to -2000
-1830;Illegal Imagesearch Subregion  ImageSearch subregion is either not completely contained in the source image  or smaller than search image  or not a rectangle ;Error;Macro Playback;;-1000 to -2000
-1840;ImageSearch Not Enough Memory  ImageSearch failed to allocate enough memory to open image file ;Error;Macro Playback;;-1000 to -2000
-1850;Non Expected Image Found  Image was found when FAIL=YES was specified (see IMAGESEARCH);Error;Macro Playback;;-1000 to -2000
-1900;Document Null  Failed to run a command because no page has been opened in the web browser or could not retrieve the page source (document is null) ;Error;Macro Playback;;-1000 to -2000
-1910;Invalid Target Window  Cannot locate target web browser window or frame ;Error;Macro Playback;;-1000 to -2000
-1930;Macro Timeout  TIMEOUT_MACRO was reached before the macro finished playing ;Error;Macro Playback;;-1000 to -2000
-2000;Set Proxy Error  Unable to set proxy server settings ;Error;Macro Playback;;-1000 to -2000
-802;Timeout error (failed to load web page);Error;Firefox ;Parsing Errors;
-803;Macro Timeout;Error;Firefox ;Parsing Errors;
-804;ONDOWNLOAD command was used but no download occurred;Error;Firefox ;Parsing Errors;
-902;Image search library not found;Error;Firefox ;Parsing Errors;
-903;Internal error in image library;Error;Firefox ;Parsing Errors;
-920;Element for specified x/y coordinates was not found;Error;Firefox ;DOM Errors;
-921;Element specified by TAG command was not found;Error;Firefox ;DOM Errors;
-922;Frame specified in TAG command was not found;Error;Firefox ;DOM Errors;
-923;Element or its ancestors have no href (src) attribute  applies to SAVEAS command;Error;Firefox ;DOM Errors;
-924;Number of options in select box element has been exceeded;Error;Firefox ;DOM Errors;
-925;Select box has no specified options;Error;Firefox ;DOM Errors;
-926;Source code of web page doesnt match SEARCH query;Error;Firefox ;DOM Errors;
-927;Image specified in IMAGESEARCH command was not found;Error;Firefox ;DOM Errors;
-930;File not found (e g  for imacros //run?m=non_existent iim or URL GOTO=file //   );Error;Firefox ;File Network Errors;
-931;Could not access file;Error;Firefox ;File Network Errors;
-932;Specified folder was not found or could not be accessed;Error;Firefox ;File Network Errors;
-933;Network error while file or page loading;Error;Firefox ;File Network Errors;
-934;Specified checksum doesnt match calculated;Error;Firefox ;File Network Errors;
-941;Password decryption failed;Error;Firefox ;Encryption Errors;
-942;Wrong password;Error;Firefox ;Encryption Errors;
-951;DATASOURCE_LINE exceeds actual number of rows in data source file;Error;Firefox ;Data Source Errors;
-952;Data source file can not be parsed;Error;Firefox ;Data Source Errors;
-953;Attempt to access non-existing column in data source file;Error;Firefox ;Data Source Errors;
-961;Attempt to set already existing time watch;Error;Firefox ;Time Watch Errors;
-962;Specified time watch does not exist;Error;Firefox ;Time Watch Errors;
-971;Specified tab number does not exists (tabs counted from the tab where replay started);Error;Firefox ;UI Errors;
-981;Syntax error in XPath expression;Error;Firefox ;Xpath Errors;
